customer_unique_id,total_spent
613835be7274f39d246f0c9c264ca132,1997
ea1c9b1a4cc63f26f5a165203a4ebd4f,1997
559026a1299bd2ede976c8d516d92258,1995
87566fe4966777f59b86e1313f177587,1990
5e5a9e721cb83187f5893a8c7109faee,1989
44975ad30406e58b8c7f2a8dae4c46f8,1989
a3331aa44b50207a2f580848a07f0a6f,1989
8f86544c8854a0d0b347511a24981b77,1989
1d4ef611a25dabe55d41c22881c14fb0,1989
a22ee6bd65e350c2d1a0d9a12c2e465f,1988
1da09dd64e235e7c2f29a4faff33535c,1980.2800000000002
15be5104d4c41b5e0dada09bfa5215d9,1980
60055ae4e5bdcbf7d567809728def6ed,1980
f28efe52152019a633891bfdb679886e,1977
698e1cf81d01a3d389d96145f7fa6df8,1974.0000000000007
6e328f26167e5c9f1c9ac765e6e95f4d,1970
2621b577faf30c524ef1f0fff766a575,1964
e09ede1057212120a291c4fa1f832c63,1949.9
69b2b29382af03e03e486ad307a76000,1934
83486a65903aefe02ed3bac7c23b5f65,1917.8000000000002
8831da2a67b7007cd92faef855f9fb52,1914.58
02b6ef845021b8fefe19c8d200f3ee06,1914.58
d77f9e20bf24f723cb3d4472a1d1b837,1899.12
e650a740f366df1d65e17eeda8cccb43,1899.12
237beb4b0ae00c80268b9b894ed3f65a,1899.05
a0cd1f3e0a9259b6dd8ec0ed4f63a63e,1899
28f6c5e53f39cd45ccd6b22fc82cd1d1,1899
ee4fb55368c4c4fa5069f4c7cbe0ed2e,1899
7530369a1ddf13882910895b0559423d,1899
15dcd36d3c50ae6540aa942684f51824,1899
3cdadaf84a996b3f07ccfcf9796f1dfd,1899
3d81d4e0977945889ce7eee309a884c5,1899
ca9ff40e3d69e5ffc34a46ed9b91451c,1895
9410c05c403cf6b73c071fa50c8ae641,1890
994e2b50ade6ead19626283999638f25,1890
6cba2fea42066c8781a30cd92826317c,1890
f444ba0d223518973d2ab5ee663bfd9a,1890
cd020f72b3994d3dda2f464efe9aa99b,1890
95376669d92be6a7dcf0494e0b1d9917,1890
ea10c984e50edffb58668706bd0bbfc2,1890
b8ca2e14188d8a3ebd2da5dfccb5725d,1890
f2a9c45fecbca38c65837639d0e1c0f2,1890
5a7881e38b4a49918a70658e1dd42a09,1890
afc8f3a11a809a74e5eef0bda1de6b9c,1890
a1bd814d14be56675c1201a1a28a6e64,1890
ac32c69c438fa163767f5aa5c4d0b6e1,1890
1a3d1e8b28c0ee27c23333ee108c47e6,1880
fec38f6590f4d8e78563eacd15f0413c,1880
3d47f4368ccc8e1bb4c4a12dbda7111b,1879.9
8637975a0cb5150b10528f5697511668,1878.33
b25c74b16e09b4a3390a6db984004c44,1859.97
a7acd7f8aefc1d48f618e3f15c5e327b,1859.97
244024d753ef305e66b7ef97f3813ebd,1854
7e1dc025d12dd45046852917926fbd2e,1850
62a71b17bb35ca8351f0ab4fdc7a3354,1850
66ec2bc0802dd4fa439e49dcfcf813b6,1850
196fb9c6acb3d8e681f6691d596a21fb,1849.9
906a8a4ec9f3d4c3e64fa6d1c4fe6009,1835
0341bbd5c969923a0f801b9e2d10a7b8,1828.44
eae0a83d752b1dd32697e0e7b4221656,1821.7300000000002
9df040be9d7656d4c912b62472bfcf05,1820
94bbded6a4ac8a3dd9887f99861bf608,1815.91
0326524848da9311350236471586bd61,1800
375e0bdb5dfb2610e71cf15f8f421ccb,1800
01858f2fad256b1689f5bdafc059f745,1799
0c2fa77ed1433d1b2ed06724ed0d5237,1799
8ac03172dc8e36a4c5e0b694ef3235aa,1799
d61c923fff01b0e448672a2159ed5757,1799
1eb6f015c37dc8e3f5b531fbca809a49,1799
8d434defc893fd9ac17fabd1462cbce3,1799
9b661514ad84d0489ac73d9e24cbf169,1798
14cf3e40a2b5076d2d0384a7e68ca06f,1798
336e748851ceb9da362d2d5e0b2f4b85,1797
a7ca51c5d161c34444a45ff503b78b0c,1797
e3fe811011101628e80a7953f1244c8d,1795
35dac57557b3ffbf2f231d3c1483fde1,1790
9654d6df6a63f5a9b61dd5ba0e0d8286,1790
6ae98e2bdf8d09e86cd16479fa511f9e,1788
89b692db0c2020ee873dbf261d941543,1788
025cf7c2f32536f0be1ab412bb6602d2,1788
13fb439d0a2aae1e3200ccb4dc9b37e7,1780
66b219a06a37d7129406e32d295a46fb,1780
f3c029ccbdd765b8e63b881af42f3d4b,1775.9
c40698869e63dc7c57f3f66e767e7287,1775.78
280bf653e57167086c1a8ffd18b03ab1,1775
798c34ffa9047399853eab8ca7c0b9a0,1770.3000000000002
604b4fd4dd22b3811eca8c2d4f1f63c5,1769
3895f60f6e6a89e5cfb7b72ffdcdf7e0,1767.8
fafe2f8e0b7065fef995698ef3809fec,1760
38e482d7770a43f5929378c4dec76d5e,1750
85b483b4f7f7bb9fe94d3ece0a3cab93,1750
141b3509663d0e6c8735da7d62fcfe16,1749.99
6e47014313b6b80ef3dd44568083862e,1740
bf31713750139aba4c36772dc9459f44,1740
6d3c02f03efc71b44d52999fc95fc86e,1737
3a205021b542565ebf170c0ec55783d9,1736
c5365631fcd0f5ae1802e798e1b7d692,1736
d3fcacda5a49565a7c1b8a6c0e03bb02,1735.54
c11f76d3806da64a4c64ea47627444e2,1727
15fbc48df691e0ad51b0cf30d86392a2,1718
cef29e793e232d30250331804cdb7000,1712.7199999999998
2c32247bb780398fedc970dfa0832e25,1704.97
a43af8fbe622cbe4be01322821f61145,1700
6aa828fc903b810472cff927dd42b500,1700
d3bf48abdd573e74110b3e79d7b07ed1,1700
74a63835c6e5eaef19af58cc83f663aa,1699.99
ac0ec8bdce394d27bc6c91549f2b5091,1699.99
21b7e7811ddc742cba9b74aaf89fb281,1699.99
26ad70987fa3435c6279b8c3a5f4980c,1699.99
132f423dc424a05048538d51a18301d2,1699.99
4550984876a4424451525c6854a996d4,1699.99
60a22f2188cd2b544c45f103d0e00539,1699.8000000000002
c9b33c9f1440ff1ebc8d4fe9b182614e,1699
1ee27e3ae93ad59224094a4ea0c71dc2,1699
9770456b4233cdf2363287ca2295650a,1699
082f4a93605df980ab01581db54640d3,1699
9cde2485320efdd065a76233a3612623,1698.99
4d32ae832a9e254bda80dac89fd37afb,1698
cd89e1b4b06880d8ea145f4b3da8e4a5,1697
9fc8316f4c0d0601664216e0a9327ed5,1695
42f1fdf511aeb359f56e375cae330892,1690
18360e41b00709cc7b2c6f391eff829e,1689
0adb59a4ec552b5ea48414b79861e292,1688
7da11710b7b7aeebec5c91a6057c9969,1688
23841d4abf4583dec7773f3bd2fe267d,1688
4facc2e6fbc2bffab2fea92d2b4aa7e4,1686.9
525cda9909aa001ebed396f6e55eae01,1684.29
ac507528f385811a6feb0e3e1fe0afad,1679.6
92fb5b65fbbdfe7d8e55e53e0af5a971,1672
2f0ce2fb407114dbfa866f22c7cf9e9d,1670
a1a9e43decb5941c1fc7f7c5fd507c5d,1670
b12294f6bca2370dc2f2a46cdc484076,1669.87
a1044dd75b74fbc485b040575a14acf0,1663
4e284eec447afc7c7d56adeda4bba178,1663
bb68ab36f08cea9dece50c4d5f63e1ca,1660
598338796239e698c67fb95bc368de07,1658.83
ff0e4a6f3114ad1d211b885159bf1eb2,1654.44
b8521fd4a5dbdf907f969af459a46838,1653.88
f94b83157ce2162d5eabd54f242d6065,1653
f6255a326ff4c43107bc0f42f433be94,1650.8
910f0afb84bc778e856d3683c7e8a46a,1650
79dbe8f7d2cd77fc463cfb663ab1375c,1650
3bd9e0cb53a95db314b55aa82f814502,1650
397b44d5bb99eabf54ea9c2b41ebb905,1650
923c196bd8ad794e9d13679e356c43df,1649.99
28e7419981c810e071e0f6b061129fbc,1649.89
